阿尔及尔,al,algiers,,25,伦敦,ld,london
亚特兰大,at,atlanta,,26,拉哥斯,lg,lagos
布宜诺斯艾利斯,ba,bnuenosAires,,27,利马,lm,lima
孟买,bb,bombay,,28,墨西哥城,mc,mexicoCity
巴格达,bd,bagdad,,29,马德里,md,madrid
波哥大,bg,bogota,,30,米兰,ml,milan
北京,bj,beijing,,31,迈哈密,mm,miami
曼谷,bk,bangkok,,32,马尼拉,mn,manila
加尔各答,cc,calcutta,,33,莫斯科,ms,moscow
芝加哥,cg,chicago,,34,纽约,ny,newYork
清奈,cn,chennai,,35,大阪,os,osaka
开罗,cr,cairo,,36,巴黎,pr,paris
华盛顿,dc,districtOfColumbia,,37,利雅德,rd,riyadh
德里,dh,delhi,,38,圣地亚哥,sd,sanDiego
雅加达,dk,djakarta,,39,三藩市,sf,sanFrancisco
埃森,es,essen,,40,上海,sh,shanghai
胡志明市,hc,hoChiMinhCity,,41,悉尼,sn,sydney
香港,hk,hongKong,,42,首尔,so,seoul
伊斯坦堡,ib,istanbul,,43,圣彼得堡,sp,saintPetersburg
约翰内斯堡,jn,johannesburg,,44,圣保罗,su,saoPaulo
喀拉蚩,kr,karachi,,45,台北,tb,taibei
金夏沙,ks,kinshasa,,46,东京,tk,tokyo
库图木,kt,kutumu,,47,德黑兰,tr,tehran
洛杉矶,la,losAngeles,,48,多伦多,tt,toronto
伦敦,ld,london,,,,,
拉哥斯,lg,lagos,,,,,
利马,lm,lima,,,,,
墨西哥城,mc,mexicoCity,,,,,
马德里,md,madrid,,,,,
米兰,ml,milan,,,,,
迈哈密,mm,miami,,,,,
马尼拉,mn,manila,,,,,
莫斯科,ms,moscow,,,,,
纽约,ny,newYork,,,,,
大阪,os,osaka,,,,,
巴黎,pr,paris,,,,,
利雅德,rd,riyadh,,,,,
圣地亚哥,sd,sanDiego,,,,,
三藩市,sf,sanFrancisco,,,,,
上海,sh,shanghai,,,,,
悉尼,sn,sydney,,,,,
首尔,so,seoul,,,,,
圣彼得堡,sp,saintPetersburg,,,,,
圣保罗,su,saoPaulo,,,,,
台北,tb,taibei,,,,,
东京,tk,tokyo,,,,,
德黑兰,tr,tehran,,,,,
多伦多,tt,toronto,,,,,
